customer_id,acquisition_source,country,date_first_deposit_id,date_registration_id,gender,date_transaction_id,count_deposit,sum_free_spin,sum_deposit,sum_bonus_cost,sum_ngr,sum_bet_real,sum_bet_bonus,sum_win_real,sum_win_bonus
1423,1,Netherlands,20100617,20100617,Male,20100630,11,2.3,250,0,-0.07,905.4,0,903.17,2.3
170,1,Norway,20100623,20091210,Female,20100704,0,0,0,0,23.963,67.321,0,43.357,0
1516,0,Sweden,20100618,20100618,Male,20100705,1,1.661,53.2,0,51.796,195.767,0,142.31,1.661
1612,0,Finland,20100620,20100620,Male,20100705,0,0.34,0,0,-0.34,0,0,0,0.34
336,1,United Kingdom,20100605,20100528,Male,20100705,0,0,0,-0.069,0.069,0,0,0,0
225,1,Austria,20100625,20100320,Male,20100706,2,7.68,200,0,200.02,411.8,0,204.1,7.68
58,1,Norway,20100612,20081102,Male,20100708,4,0,131,0,-73.36,320.688,0,394.048,0
1423,1,Netherlands,20100617,20100617,Male,20100718,6,12.47,165,0,165.03,639.45,0,461.95,12.47
58,1,Norway,20100612,20081102,Male,20100723,0,0,0,0,0.214,0.214,0,0,0
614,0,United Kingdom,20100605,20100604,Male,20100723,1,0,114.22,0,-558.531,406.563,0,965.094,0
274,1,Canada,20100615,20100506,Female,20100723,0,0.109,0,0,0,0.205,0,0.096,0.109
1279,1,Germany,20100614,20100614,Male,20100726,0,0,0,-200,200,0,0,0,0
1379,1,Finland,20100616,20100616,Male,20100726,0,0,0,0,0,0,0,0,0
1423,1,Netherlands,20100617,20100617,Male,20100726,9,5.1,125,0,14.87,2085.75,0,2065.78,5.1
2175,1,Finland,20100630,20100630,Male,20100728,0,0,0,0,151,0,151,0,0
274,1,Canada,20100615,20100506,Female,20100730,2,0,28.06,0,-150.81,918.754,0,1069.564,0
614,0,United Kingdom,20100605,20100604,Male,20100811,1,0,112.65,0,109.698,152.188,0,42.49,0
1423,1,Netherlands,20100617,20100617,Male,20100811,4,14.7,60,0,9.85,924.7,0,900.15,14.7
